date,PM2.5
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,
2015-01-09,
2015-01-10,
2015-01-11,
2015-01-12,
2015-01-13,
2015-01-14,
2015-01-15,
2015-01-16,
2015-01-17,
2015-01-18,
2015-01-19,
2015-01-20,
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-24,
2015-01-25,
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-01-31,
2015-02-01,
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-07,
2015-02-08,
2015-02-09,
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,
2015-02-18,
2015-02-19,
2015-02-20,
2015-02-21,
2015-02-22,
2015-02-23,
2015-02-24,
2015-02-25,
2015-02-26,
2015-02-27,
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-07,
2015-03-08,
2015-03-09,
2015-03-10,
2015-03-11,
2015-03-12,
2015-03-13,
2015-03-14,
2015-03-15,
2015-03-16,
2015-03-17,
2015-03-18,
2015-03-19,
2015-03-20,
2015-03-21,
2015-03-22,
2015-03-23,
2015-03-24,
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-28,
2015-03-29,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,
2015-04-07,
2015-04-08,
2015-04-09,
2015-04-10,
2015-04-11,
2015-04-12,
2015-04-13,
2015-04-14,
2015-04-15,
2015-04-16,
2015-04-17,
2015-04-18,
2015-04-19,
2015-04-20,
2015-04-21,
2015-04-22,
2015-04-23,
2015-04-24,
2015-04-25,
2015-04-26,
2015-04-27,
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-02,
2015-05-03,
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
2015-05-09,
2015-05-10,
2015-05-11,
2015-05-12,
2015-05-13,54.0
2015-05-14,93.0
2015-05-15,64.0
2015-05-16,68.0
2015-05-17,28.0
2015-05-18,76.0
2015-05-19,72.0
2015-05-20,74.0
2015-05-21,63.0
2015-05-22,91.0
2015-05-23,75.0
2015-05-24,75.0
2015-05-25,76.0
2015-05-26,84.0
2015-05-27,102.0
2015-05-28,67.0
2015-05-29,71.0
2015-05-30,74.0
2015-05-31,106.0
2015-06-01,71.0
2015-06-02,74.0
2015-06-03,59.0
2015-06-04,81.0
2015-06-05,72.0
2015-06-06,54.0
2015-06-07,39.0
2015-06-08,50.0
2015-06-09,52.0
2015-06-10,47.0
2015-06-11,59.0
2015-06-12,66.0
2015-06-13,61.0
2015-06-14,54.0
2015-06-15,57.0
2015-06-16,81.0
2015-06-17,70.0
2015-06-18,71.0
2015-06-19,51.0
2015-06-20,67.0
2015-06-21,94.0
2015-06-22,77.0
2015-06-23,76.0
2015-06-24,53.0
2015-06-25,55.0
2015-06-26,59.0
2015-06-27,85.0
2015-06-28,76.0
2015-06-29,84.0
2015-06-30,98.0
2015-07-01,69.0
2015-07-02,77.0
2015-07-03,65.0
2015-07-04,73.0
2015-07-05,63.0
2015-07-06,82.0
2015-07-07,78.0
2015-07-08,71.0
2015-07-09,60.0
2015-07-10,53.0
2015-07-11,71.0
2015-07-12,75.0
2015-07-13,78.0
2015-07-14,79.0
2015-07-15,77.0
2015-07-16,73.0
2015-07-17,77.0
2015-07-18,76.0
2015-07-19,61.0
