date,PM2.5
2016-01-01,
2016-01-02,
2016-01-03,140.0
2016-01-04,153.0
2016-01-05,162.0
2016-01-06,157.0
2016-01-07,155.0
2016-01-08,166.0
2016-01-09,159.0
2016-01-10,139.0
2016-01-11,144.0
2016-01-12,163.0
2016-01-13,168.0
2016-01-14,178.0
2016-01-15,
2016-01-16,188.0
2016-01-17,165.0
2016-01-18,170.0
2016-01-19,175.0
2016-01-20,163.0
2016-01-21,140.0
2016-01-22,163.0
2016-01-23,166.0
2016-01-24,134.0
2016-01-25,153.0
2016-01-26,153.0
2016-01-27,153.0
2016-01-28,182.0
2016-01-29,174.0
2016-01-30,168.0
2016-01-31,211.0
2016-02-01,172.0
2016-02-02,158.0
2016-02-03,166.0
2016-02-04,162.0
2016-02-05,166.0
2016-02-06,163.0
2016-02-07,183.0
2016-02-08,176.0
2016-02-09,176.0
2016-02-10,177.0
2016-02-11,174.0
2016-02-12,182.0
2016-02-13,177.0
2016-02-14,162.0
2016-02-15,162.0
2016-02-16,145.0
2016-02-17,160.0
2016-02-18,
2016-02-19,160.0
2016-02-20,155.0
2016-02-21,162.0
2016-02-22,196.0
2016-02-23,283.0
2016-02-24,250.0
2016-02-25,184.0
2016-02-26,168.0
2016-02-27,145.0
2016-02-28,148.0
2016-02-29,154.0
2016-03-01,152.0
2016-03-02,155.0
2016-03-03,169.0
2016-03-04,172.0
2016-03-05,168.0
2016-03-06,163.0
2016-03-07,162.0
2016-03-08,159.0
2016-03-09,171.0
2016-03-10,170.0
2016-03-11,
2016-03-12,
2016-03-13,173.0
2016-03-14,181.0
2016-03-15,167.0
2016-03-16,168.0
2016-03-17,165.0
2016-03-18,167.0
2016-03-19,207.0
2016-03-20,291.0
2016-03-21,233.0
2016-03-22,194.0
2016-03-23,
2016-03-24,
2016-03-25,
2016-03-26,
2016-03-27,122.0
2016-03-28,155.0
2016-03-29,151.0
2016-03-30,140.0
2016-03-31,155.0
2016-04-01,146.0
2016-04-02,152.0
2016-04-03,146.0
2016-04-04,150.0
2016-04-05,151.0
2016-04-06,125.0
2016-04-07,125.0
2016-04-08,103.0
2016-04-09,103.0
2016-04-10,98.0
2016-04-11,86.0
2016-04-12,118.0
2016-04-13,
2016-04-14,
2016-04-15,
2016-04-16,137.0
2016-04-17,102.0
